ID,FirstName,LastName,isSittingMP,Votes,PartyID
172,Andrew,Bridgen,1,33811,16
173,Andrew,Brown,0,4227,29
174,Andrew,Chainey,0,1322,56
175,Andrew,Chamberlain,0,2394,29
176,Andrew,Cooper,0,1768,20
177,Andrew,Cregan,0,8832,29
178,Andrew,De Whalley,0,1645,20
179,Andrew,Dunn,0,134,47
180,Andrew,Dunne,0,6568,26
181,Andrew,Elston,0,367,23
182,Andrew,Emerson,0,109,35
183,Andrew,Gant,0,2469,29
184,Andrew,Garcarz,0,831,8
185,Andrew,George,0,21085,29
186,Andrew,Gordon,0,9178,26
187,Andrew,Griffith,0,35566,16
188,Andrew,Gwynne,1,19317,26
189,Andrew,Heygate-Browne,0,812,20
190,Andrew,Hilland,0,10736,26
191,Andrew,Husband,0,5254,8
192,Andrew,Johns,0,1733,20
193,Andrew,Jones,1,29962,16
194,Andrew,Jones,0,868,20
195,Andrew,Kinsman,0,149,30
196,Andrew,Knight,0,675,4
197,Andrew,Lee,0,17021,16
198,Andrew,Lewer,1,20914,16
199,Andrew,McGlynn,0,4174,29
200,Andrew,McGuinness,0,641,8
201,Andrew,Mitchell,1,31604,16
202,Andrew,Muir,0,708,23
203,Andrew,Murday,0,8701,29
204,Andrew,Murrison,1,33038,16
205,Andrew,Parkhurst,0,2346,29
206,Andrew,Percy,1,30941,16
207,Andrew,Rosindell,1,30494,16
208,Andrew,Selous,1,32212,16
209,Andrew,Simpson,0,7032,29
210,Andrew,Sinclair,0,5176,16
211,Andrew,Snedden,0,557,61
212,Andrew,Stephenson,1,24076,16
213,Andrew,Tilley,0,935,20
214,Andrew,Waters,0,2031,20
215,Andrew,Western,0,20172,26
216,Andy,Argyle,0,1388,8
217,Andy,Bentley,0,1710,20
218,Andy,Brown,0,2748,20
219,Andy,Carter,0,28187,16
220,Andy,Corkhill,0,2706,29
221,Andy,Erlam,0,376,23
222,Andy,Fewings,0,1207,20
223,Andy,Graham,0,1313,29
224,Andy,Hagon,0,1696,29
225,Andy,Higgins,0,927,23
226,Andy,Kelly,0,3312,29
227,Andy,McDonald,1,17207,26
228,Andy,McKane,0,2774,64
229,Andy,Morgan,0,1099,23
230,Andy,Shead,0,1441,61
231,Andy,Slaughter,1,30074,26
232,Andy,Stamp,0,13054,26
233,Andy,Stanford,0,662,20
234,Andy,Stewart,0,8294,8
235,Andy,Thomas,0,9583,26
236,Andy,Thomas,0,69,60
237,Andy,Williamson,0,2833,20
238,Angela,Bretherton,0,2471,26
239,Angela,Crawley,1,22243,43
240,Angela,Eagle,1,29901,26
241,Angela,Feeney,0,14354,26
242,Angela,Hancock,0,1111,8
243,Angela,Mulholland,0,902,46
244,Angela,Preston,0,285,28
245,Angela,Rayner,1,18544,26
246,Angela,Richardson,0,26317,16
247,Angela,Smith,1,6036,29
248,Angela,Stone,0,1764,20
249,Angela,Wilkins,0,13067,26
250,Angelika,Cowell,0,489,4
251,Angelina,Leatherbarrow,0,12601,26
252,Angie,Curwen,0,3439,29
253,Angie,Smith,0,9377,26
254,Angus,Forbes,0,19812,16
255,Angus Brendan,MacNeil,1,6531,43
256,Ani,Goddard,0,977,20
257,Anita,Davies,0,1460,29
258,Anita,Prabhakar,0,2279,29
259,Anjana,Patel,0,18832,16
260,Ann,Haigh,0,1482,29
261,Ann,Holtom,0,1301,29
262,Ann,Kelly,0,536,33
263,Ann,O'Bern,0,551,23
264,Ann,Widdecombe,0,2909,8
265,Anna,Coda,0,10704,26
266,Anna,Day,0,12753,26
267,Anna,Firth,0,27182,16
268,Anna,Fryer,0,2969,29
269,Anna,Jones,0,7503,29
270,Anna,McMorrin,1,26064,26
271,Anna,Perrett,0,17339,26
272,Anna,Soubry,1,4668,57
273,Anna,Turley,1,15284,27
274,Annabel,Mullin,0,80,1
275,Annabel,Tall,0,16097,16
276,Anne,Gayfer,0,2265,20
277,Anne,Hobbs,0,11757,26
278,Anne,Killett,0,1064,20
279,Anne,Main,1,22574,16
280,Anne,McCloskey,0,2032,5
281,Anne,McLaughlin,0,15911,43
282,Anne,Milton,1,4356,23
283,Anne,Rouse,0,4515,26
284,Anne Marie,Morris,1,29190,16
285,Anneliese,Dodds,1,28135,27
286,Anne-Marie,Curry,0,2097,29
287,Anne-Marie,Trevelyan,1,23947,16
288,Annette,Medhurst,0,6450,26
289,Annette,Wilcox,0,1382,8
290,Anthony,Browne,0,31015,16
291,Anthony,Hodgson,0,242,12
292,Anthony,Mangnall,0,27751,16
293,Anthony,Pickles,0,15767,16
294,Anthony,Prince,0,389,63
295,Anthony,Slaughter,0,3251,20
296,Anthony,Smith,0,2073,29
297,Anthony,Watchorn,0,458,23
298,Antoinette,Sandbach,1,9582,29
299,Antonia,Harrison,0,3419,29
300,Antonio,Vitiello,0,194,19
301,Antonio,Weiss,0,8098,26
302,Antony,Higginbotham,0,15720,16
303,Antony,High,0,4548,23
304,Antony,Tucker,0,9440,26
305,Anwara,Ali,0,16440,16
306,Aphra,Brandreth,0,20614,16
307,April,Clark,0,4090,20
308,Apsana,Begum,0,38660,26
309,Archibald,Stanton,0,252,33
310,Ariane,Burgess,0,1709,20
311,Arnold,Saunders,0,17227,16
312,Arnold,Warneken,0,1823,20
313,Arthur,Pendragon,0,745,23
314,Ashburn,Holder,0,1795,29
315,Ashley,Cartman,0,11051,29
316,Ashley,Dalton,0,14777,26
317,Ashley,Dickenson,0,200,12
318,Ashley,Gunstock,0,1805,20
319,Ashley,Ridley,0,4127,29
320,Ashley,Williams,0,14314,16
321,Aston,Line,0,13096,26
322,Atifa,Shah,0,14807,16
323,Attika,Choudhary,0,12428,16
324,Austin,Reid,0,3990,29
325,Azfar,Bukhari,0,90,23
326,Azhar,Ali,0,17890,26
327,Azzees,Minott,0,602,20
328,Bablin,Molik,0,6298,29
329,Bambos,Charalambous,1,22923,26
330,Barbara,Keeley,1,20446,26
331,Barmy Lord,Brockman,0,638,33
332,Baron,Badger,0,326,33
333,Baron,Von Thunderclap,0,550,33
334,Barry,Broom,0,1283,20
335,Barry,Gardiner,1,26911,26
336,Barry,Harding-Rathbone,0,1702,20
337,Barry,Holliday,0,3935,29
338,Barry,James,0,30,23
339,Barry,Jones,0,5760,26
340,Barry,Sheerman,1,20509,27
341,Bart,Ricketts,0,2041,29
342,Beatrice,Bass,0,3731,29
343,Becca,Stevenson,0,1544,20
344,Beccy,Cooper,0,15652,26
345,Beccy,Sawbridge,0,1371,20
346,Becky,Finlayson,0,1092,20
