ID,Name,isCounty
257,Hackney South and Shoreditch,0
258,Halesowen and Rowley Regis,0
259,Halifax,0
260,Haltemprice and Howden,1
261,Halton,1
262,Hammersmith,0
263,Hampstead and Kilburn,0
264,Harborough,1
265,Harlow,1
266,Harrogate and Knaresborough,1
267,Harrow East,0
268,Harrow West,0
269,Hartlepool,0
270,Harwich and North Essex,1
271,Hastings and Rye,1
272,Havant,0
273,Hayes and Harlington,0
274,Hazel Grove,1
275,Hemel Hempstead,1
276,Hemsworth,1
277,Hendon,0
278,Henley,1
279,Hereford and South Herefordshire,1
280,Hertford and Stortford,1
281,Hertsmere,1
282,Hexham,1
283,Heywood and Middleton,1
284,High Peak,1
285,Hitchin and Harpenden,1
286,Holborn and St Pancras,0
287,Hornchurch and Upminster,0
288,Hornsey and Wood Green,0
289,Horsham,1
290,Houghton and Sunderland South,0
291,Hove,0
292,Huddersfield,0
293,Huntingdon,1
294,Hyndburn,0
295,Ilford North,0
296,Ilford South,0
297,Inverclyde,1
298,"Inverness, Nairn, Badenoch and Strathspey",1
299,Ipswich,0
300,Isle Of Wight,1
301,Islington North,0
302,Islington South and Finsbury,0
303,Islwyn,1
304,Jarrow,0
305,Keighley,1
306,Kenilworth and Southam,1
307,Kensington,0
308,Kettering,1
309,Kilmarnock and Loudoun,1
310,Kingston and Surbiton,0
311,Kingston upon Hull East,0
312,Kingston upon Hull North,0
313,Kingston upon Hull West and Hessle,0
314,Kingswood,0
315,Kirkcaldy and Cowdenbeath,1
316,Knowsley,0
317,Lagan Valley,1
318,Lanark and Hamilton East,1
319,Lancaster and Fleetwood,1
320,Leeds Central,0
321,Leeds East,0
322,Leeds North East,0
323,Leeds North West,0
324,Leeds West,0
325,Leicester East,0
326,Leicester South,0
327,Leicester West,0
328,Leigh,1
329,Lewes,1
330,Lewisham East,0
331,Lewisham West and Penge,0
332,"Lewisham, Deptford",0
333,Leyton and Wanstead,1
334,Lichfield,1
335,Lincoln,0
336,Linlithgow and East Falkirk,1
337,"Liverpool, Riverside",0
338,"Liverpool, Walton",0
339,"Liverpool, Wavertree",0
340,"Liverpool, West Derby",0
341,Livingston,1
342,Llanelli,1
343,Loughborough,1
344,Louth and Horncastle,1
345,Ludlow,1
346,Luton North,0
347,Luton South,0
348,Macclesfield,1
349,Maidenhead,1
350,Maidstone and The Weald,1
351,Makerfield,1
352,Maldon,1
353,Manchester Central,0
354,"Manchester, Gorton",0
355,"Manchester, Withington",0
356,Mansfield,1
357,Meon Valley,1
358,Meriden,1
359,Merthyr Tydfil and Rhymney,1
360,Mid Bedfordshire,1
361,Mid Derbyshire,1
362,Mid Dorset and North Poole,1
363,Mid Norfolk,1
364,Mid Sussex,1
365,Mid Ulster,1
366,Mid Worcestershire,1
367,Middlesbrough,0
368,Middlesbrough South and East Cleveland,1
369,Midlothian,1
370,Milton Keynes North,1
371,Milton Keynes South,0
372,Mitcham and Morden,0
373,Mole Valley,1
374,Monmouth,1
375,Montgomeryshire,1
376,Moray,1
377,Morecambe and Lunesdale,1
378,Morley and Outwood,1
379,Motherwell and Wishaw,0
